poem_id,poem_text,caption,date_time
P0040,"I was broken and shattered into pieces... 
You taped me into one...

But to grind me as powder... 

Now I've nothing more to be faced and nothing left to be hurt... 
Try your best to hurt me until you tire-off...
And face up to see me smile...",#brokenheart #smile  #depressedsoul #sadsmile #php  #peachhouseperson #arivalan,2019-11-06T14:56:03
P0041,"காணும் காட்சிகள் ஓவியமாக...
காணா கண்களை காண காத்திருந்தேன்...
வீழா நெஞ்சங்கள் வீழ்ந்திட்ட போதிலும்
வேர் ஒன்றே போதும், வேதத்தை வெல்ல - என
ஒளியூட்டி விளக்கிட்ட வண்ணமிகு ஓவியமே - இனி
உணைக்காணும் நாள் எண்ணி வியப்போடு காத்திருப்பேன்....",#php  #peachhouseperson #tamil #love #care  #supportivepeople #waitisover #arivalan,2019-11-13T21:37:34
P0042,"முதல்முறையில் உனைக்கண்ட நொடி ஞாபகம் எந்தன் நெஞ்சில் நிரந்தர இடம் கேட்குதே...
இதழ்நுனியில் என்றென்றும் உன்பெயரும் எந்தன் நாவில் நிரந்தர இடம் கேட்குதே...

சுதந்திர நாடொன்றில் நான் வாழவும்
சிலர் நினைவுகள் எனை அடைத்து துன்புறுதிட...
நிரந்தர அன்பை எனக்களித்து, எனை காக்கும் தேவியே என்தோழியே....

நபர் பல வந்தாலும் உனக்கீடாக உயிரில்லையே - ஆனால்
என் அன்பு உனைசேர செயலெல்லாம் ஒருபோதும் உன்மனதில் உறுதில்லையே...

நிழல் போல எனை பிரியா என்அருமை 
தேன்தென்றலே....
இது கதைபேசிய சபைக்கோயிலின்
சாபத்துக்குள்ளான இம்மானிடனின்
இருதிக்கவி ஆகும்...",Sorry #php  #peachhouseperson #lastone #nothingmore #arivalan,2019-11-14T18:10:55
P0043,"தேகமெல்லாம் உந்தன் தேன்நினைவு
தேக்கம் இன்றி வழிகிறதே...  

மோகனங்கள் எதும் இன்றி
மோச்சம் கொள்ள துடிக்கிறதே...

சேதி கொண்ட நாள் முதலே
சேகரித்த உன் நினைவு,
பிறர் சேவை ஏதுமின்றி
செம்மையாக மலர்ந்திட...

வீதி எங்கும் கோர்த்து திரிந்த
நம் கரங்கள்,  
உன் அன்பு கரம்இன்றி
வேரோடு மறைகிறதே...

கோபதாபம் கொண்ட போதும்
கோமல குணம்கொண்டு
எனை அருளும் கொற்றவையே....
இன்று விரல்கோர்த்து வேண்டுகையில் 
உதறி செல்லும் ஞாயம் என்ன... 

எனைவிட்டு நீ நீங்கி ஈராண்டுகள் ஆகினும்,
இன்றும் உன்அடி சேர காத்திருப்பேன்,
நித்தியமாய் நிதர்சனமாய்...","#php  #peachhouseperson  
 #loveforever  #tamil #arivalan",2020-02-14T22:59:37
P0044,"எதிர்க்காதோரை மிரட்டுவதை
வீரம் என என்னும்
சில மூடர்களின் ஆணவம், எதிற்பவரின் பார்வையிலே வீழ்ந்திடுமே இம்மண்மூட...",Situation #php #peachhouseperson #tamil #arivalan,2020-02-18T21:50:27
P0045,"உணர்வோடு உறவாகி
உயிர்காக்க முயல்வோரே...
முறைக்கேற்ப எமை வளர்த்து
எமக்கேற்ப வாழ்வோரே...
திசைக்கேற்ப நீ திரிந்து
வழிகாட்ட வருவோரே...
மிகையில்லா அன்போடு
எமக்குதவி செய்வோரே...
பல தவறு யாம் செய்ய
விசையின்றி அடிப்போரே... 
சிறு இன்னலும் எமை தீண்டாது
நாள்முழுதும் காப்போரே... 
உன்ஆசை எதுவிருந்தும்
முதல்ஆசை யாமானோம்... 
அவ்வாசை நிறைவேற
உன்ஆசி துனையிருக்கும்...  
ஒவ்வாத பூமியில் உருவெடுத்த இறைவனே! - இக்கவிதை
எமை என்றும் காத்திருக்கும்
எம் தந்தைக்கு சமர்ப்பணம்...",Father love #php  #peachhouseperson #dad #father #dadslove  #arivalan,2020-02-20T00:57:57
P0046,"அன்பின் இலக்கணத்தை
நான் அறிந்தேன் உன்னிடத்தில்... 
பண்பின்  பக்குவத்தை
நான் அறிந்தேன் உன்னிடத்தில்... 
நட்பின் நன்னிரத்தை
நான் அறிந்தேன் உன்னிடத்தில்... 
கற்பின் கன்னியத்தை
நான் அறிந்தேன் உன்னிடத்தில்... 
சினத்தின் வீரியத்தை
நான் அறிந்தேன் உன்னிடத்தில்... 
குணத்தின் காரணத்தை
நான் அறிந்தேன் உன்னிடத்தில்... 

பேதைக்கு சமத்துவம் கண்டேன் உன்னிடத்தில் - நான்
மேதைக்கும் பகுத்துவம் கண்டேன் உன்னிடத்தில்... 
காதலின் கொள்கைகள் கண்டேன் உன்னிடத்தில் - நான்
அக்காதலை கண்டு வியந்தேன் உன்கதையில்... 
நஞ்சுண்டு அண்டம் காத்த நீலகண்டனே,
நான் என்றென்றும் வியந்து வாழ்வேன் உன்னிடத்தில்...",#php #peachhouseperson #tamil #shiva #arivalan,2020-02-21T09:57:49
P0047,"நித்தமும் சித்தத்தில் நெடுநீண்ட உயிர்ப்பிணைப்பால்
முத்தமிழ் சத்தத்தில் கவியொன்றை நான் இயற்ற 
அத்துனை மொழிகளும் என்மொழியைப் பழகிடவே
அன்பொன்றே தமிழுக்கும் மூத்த மொழி என்றிடுவேன்... 
 
 உயிர்அனைத்தும் ஒன்றாக, இணையில்லா மொழியாகி
துயர்தன்னை துடைத்தெடுக்க துணைதந்த வேற்றோனே...
திகழ்கண்ட உயிர்கூட உனக்காக தினம் ஏங்க
பலர்வாடி செல்லுகையில் மலர்பூக்க செய்தவனே!

திசை அனைத்தும் உனைப்போற்ற, உனக்காக பலர் கவிஇயற்ற
ஏனென்று தெரியவில்லை, எந்தன் சினம் உன்மீது குறையவில்லை 

தசைகொடுத்த தாயோடு இசைக்கேற்ப அசைந்தாடி,
திசை ஒன்றை கண்டறிந்த மிசைபோன்ற என்னவளை, 
சேய் என்றும் பாராமல் சிதைத்தெடுத்த பலர் இருக்க,
சினம்கொள்ளும் திகம்பரனும் அவன்வாழ வழிவகுக்க,
விசையோடு களைஅகற்ற வந்தோரை தோற்கடித்த,
உன்மீது சினம்கொண்டு,
உயிர்போடு நான் சொல்வேன்...
அன்பிற்கும் உண்டு அடைக்கும் தாழ்...",#php #peachhouseperson #arivalan,2020-02-22T21:45:26
P0048,"Never get attached to someone for a long period
Soon they'll get bored",Depressed souls #depression #failure #lifesucks #php #peachhouseperson #arivalan,2020-03-08T11:33:07
P0049,"வெண்ணிறமாய் திகழ்ந்த மனம் 
வெற்றிடமாய் ஆனதென்ன... 
வெற்றிடமாய் இருந்த நெஞ்சில் 
வேறொருத்தி வந்ததென்ன... 
வேறொருத்தி ஆன அவள்  
வெறுத்துவிட்டு சென்றதென்ன... 
வெறுக்கப்பட்ட என் நெஞ்சை சிலர்
வேண்டிவிரும்பி கேட்டதென்ன... 
வேண்டிவிரும்பி கேட்டோர்க்கு நான்
வேண்டாம் என்று மறுத்ததென்ன...  
வேண்டாம் என்று சொன்னபின்னர்  
வெற்பன் மனதில் குழப்பமென்ன... 
வெற்பன் குழப்பம் நீக்கிடவே 
வெருவல் விடுத்த வாழ்க்கையென்ன...  
வெருவல் கிடைத்த மறுகணமே  
வேறல் பெற துடித்ததென்ன...
வேறல் கனி புசித்திடவே 
வேங்கை கொண்ட பாதையென்ன... 

வேனில் என்ற இலக்கோடு, 
வேதம் பல நன்கறிந்து , 
வேள்வியில்லா வழிகொண்டு,
வேறல் வேட்கையில் வேட்டைக்கு வந்த
வெய்யோனே இவ்வேந்தன் ஆவேன்.",#life #lessons #destiny #tamil  #php #peachhouseperson #arivalan,2020-04-02T19:10:27
